Location,Timetag,Hourly Surface solar radiation downwards (J/m2),Temperature factor
home,2020-05-08 08:00:00,2063758.0,0.9607277
home,2020-05-08 09:00:00,2579358.0,0.97612596
home,2020-05-08 10:00:00,2886462.0,0.9857085
home,2020-05-08 11:00:00,2983200.0,0.99160993
home,2020-05-08 12:00:00,2773486.0,0.9951177
home,2020-05-08 13:00:00,2525168.0,0.99668664
home,2020-05-08 14:00:00,2065696.0,0.99744856
home,2020-05-08 15:00:00,1531244.0,0.99764633
home,2020-05-08 16:00:00,933744.0,0.99752635
home,2020-05-08 17:00:00,470264.0,0.99692357
home,2020-05-08 18:00:00,132708.0,0.9935229
home,2020-05-08 19:00:00,892.0,0.98501456
home,2020-05-08 20:00:00,0.0,0.97136474
home,2020-05-08 21:00:00,0.0,0.9605571
home,2020-05-08 22:00:00,0.0,0.9507961
home,2020-05-08 23:00:00,0.0,0.9425891
home,2020-05-09 00:00:00,0.0,0.9331384
home,2020-05-09 01:00:00,0.0,0.9222909
home,2020-05-09 02:00:00,0.0,0.91076493
home,2020-05-09 03:00:00,285.0,0.8994638
home,2020-05-09 04:00:00,142106.0,0.89012396
home,2020-05-09 05:00:00,498515.0,0.89245796
home,2020-05-09 06:00:00,1055426.0,0.92188275
home,2020-05-09 07:00:00,1631258.0,0.9586072
home,2020-05-09 08:00:00,2051730.0,0.9805095
home,2020-05-09 09:00:00,2481278.0,0.9922775
home,2020-05-09 10:00:00,2805332.0,0.99707186
home,2020-05-09 11:00:00,2975070.0,0.9979571
home,2020-05-09 12:00:00,2927044.0,0.99679565
home,2020-05-09 13:00:00,2675620.0,0.9951198
home,2020-05-09 14:00:00,2296728.0,0.99377537
home,2020-05-09 15:00:00,1770536.0,0.99327767
home,2020-05-09 16:00:00,1172948.0,0.9938906
home,2020-05-09 17:00:00,615480.0,0.9956985
home,2020-05-09 18:00:00,180352.0,0.99798423
home,2020-05-09 19:00:00,1456.0,0.99419093
home,2020-05-09 20:00:00,0.0,0.98400843
home,2020-05-09 21:00:00,0.0,0.9735042
home,2020-05-09 22:00:00,0.0,0.96406233
home,2020-05-09 23:00:00,0.0,0.9538982
home,2020-05-10 00:00:00,0.0,0.9424357
home,2020-05-10 01:00:00,0.0,0.9322053
home,2020-05-10 02:00:00,0.0,0.9161503
home,2020-05-10 03:00:00,645.0,0.9038259
home,2020-05-10 04:00:00,123933.0,0.89420056
home,2020-05-10 05:00:00,421970.0,0.90219116
home,2020-05-10 06:00:00,994724.0,0.94395006
home,2020-05-10 07:00:00,1130884.0,0.971397
home,2020-05-10 08:00:00,1326376.0,0.98312545
home,2020-05-10 09:00:00,1411116.0,0.9907892
home,2020-05-10 10:00:00,1464088.0,0.9949806
home,2020-05-10 11:00:00,1314082.0,0.99682724
home,2020-05-10 12:00:00,902768.0,0.9969585
home,2020-05-10 13:00:00,761312.0,0.99586654
home,2020-05-10 14:00:00,571934.0,0.9913908
home,2020-05-10 15:00:00,356278.0,0.98003376
home,2020-05-10 16:00:00,276864.0,0.9620728
home,2020-05-10 17:00:00,145228.0,0.93475914
home,2020-05-10 18:00:00,99402.0,0.9040074
home,2020-05-10 19:00:00,842.0,0.881008
home,2020-05-10 20:00:00,0.0,0.8593191
home,2020-05-10 21:00:00,0.0,0.8410139
home,2020-05-10 22:00:00,0.0,0.83078367
home,2020-05-10 23:00:00,0.0,0.8275306
home,2020-05-11 00:00:00,0.0,0.8259444
home,2020-05-11 01:00:00,0.0,0.8251922
home,2020-05-11 02:00:00,0.0,0.8249209
home,2020-05-11 03:00:00,716.0,0.8216131
home,2020-05-11 04:00:00,113922.0,0.81874144
home,2020-05-11 05:00:00,478120.0,0.81719804
home,2020-05-11 06:00:00,885636.0,0.82383966
home,2020-05-11 07:00:00,1131090.0,0.8469411
home,2020-05-11 08:00:00,1784458.0,0.8643566
home,2020-05-11 09:00:00,2323112.0,0.88609403
home,2020-05-11 10:00:00,2381656.0,0.9035269
home,2020-05-11 11:00:00,2162324.0,0.91112626
home,2020-05-11 12:00:00,2334458.0,0.91235405
home,2020-05-11 13:00:00,2041430.0,0.9160744
home,2020-05-11 14:00:00,2223602.0,0.9172709
home,2020-05-11 15:00:00,1760896.0,0.9171378
