Node,Time,Price
node_1,1,18.25
node_2,1,0.365
node_3,1,18.25
node_1,2,18.25
node_2,2,0.365
node_3,2,18.25
node_1,3,18.25
node_2,3,0.365
node_3,3,18.25
node_1,4,18.25
node_2,4,0.365
node_3,4,18.25
node_1,5,18.25
node_2,5,0.365
node_3,5,18.25
node_1,6,18.25
node_2,6,0.365
node_3,6,18.25
node_1,7,18.25
node_2,7,0.365
node_3,7,18.25
node_1,8,18.25
node_2,8,0.365
node_3,8,18.25
node_1,9,18.25
node_2,9,0.365
node_3,9,18.25
node_1,10,18.25
node_2,10,0.365
node_3,10,18.25
node_1,11,18.25
node_2,11,0.365
node_3,11,18.25
node_1,12,0.365
node_2,12,0.365
node_3,12,0.365
node_1,13,0.365
node_2,13,0.365
node_3,13,0.365
node_1,14,4.532197802197792
node_2,14,0.365
node_3,14,4.532197802197792
node_1,15,18.25
node_2,15,0.365
node_3,15,18.25
node_1,16,18.25
node_2,16,0.365
node_3,16,18.25
node_1,17,18.25
node_2,17,16.07613281249997
node_3,17,18.25
node_1,18,18.25
node_2,18,18.25
node_3,18,18.25
node_1,19,18.25
node_2,19,18.25
node_3,19,18.25
node_1,20,50.55
node_2,20,50.55
node_3,20,50.55
node_1,21,25.55
node_2,21,25.55
node_3,21,25.55
node_1,22,18.650000000000002
node_2,22,18.650000000000002
node_3,22,18.650000000000002
node_1,23,18.25
node_2,23,18.25
node_3,23,18.25
node_1,24,18.25
node_2,24,0.365
node_3,24,18.25
