Generation,Time,Production
OCGT,1,0.0
CCGT,1,233.33333340000001
WIND,1,716.6666667
SOLAR,1,-0.0
OCGT,2,0.0
CCGT,2,180.0
WIND,2,690.0
SOLAR,2,-0.0
OCGT,3,0.0
CCGT,3,142.66666659999999
WIND,3,671.3333333
SOLAR,3,-0.0
OCGT,4,0.0
CCGT,4,119.33333340000001
WIND,4,659.6666667
SOLAR,4,-0.0
OCGT,5,0.0
CCGT,5,105.33333340000001
WIND,5,652.6666667
SOLAR,5,-0.0
OCGT,6,0.0
CCGT,6,97.66300359560438
WIND,6,650.3333333
SOLAR,6,3.0036630043956047
OCGT,7,0.0
CCGT,7,99.80952387142858
WIND,7,659.6666667
SOLAR,7,19.52380952857143
OCGT,8,0.0
CCGT,8,98.9304029164835
WIND,8,678.0
SOLAR,8,57.0695970835165
OCGT,9,0.0
CCGT,9,78.1831502197802
WIND,9,700.6666667
SOLAR,9,123.15018318021981
OCGT,10,0.0
CCGT,10,42.09523811428568
WIND,10,718.6666667
SOLAR,10,195.23809528571434
OCGT,11,0.0
CCGT,11,18.02197802637363
WIND,11,736.6666667
SOLAR,11,255.31135537362638
OCGT,12,0.0
CCGT,12,0.0
WIND,12,736.1501830802198
SOLAR,12,286.8498169197802
OCGT,13,0.0
CCGT,13,0.0
WIND,13,725.1428569714285
SOLAR,13,292.8571429285715
OCGT,14,0.0
CCGT,14,0.0
WIND,14,736.6666667
SOLAR,14,273.3333334
OCGT,15,0.0
CCGT,15,25.05494506593402
WIND,15,726.6666667
SOLAR,15,228.278388334066
OCGT,16,0.0
CCGT,16,85.64102566923074
WIND,16,721.6666667
SOLAR,16,157.69230773076927
OCGT,17,0.0
CCGT,17,162.4029303835165
WIND,17,721.0
SOLAR,17,79.59706961648352
OCGT,18,0.0
CCGT,18,245.96336985604398
WIND,18,721.0
SOLAR,18,30.036630043956045
OCGT,19,0.0
CCGT,19,365.9926738912088
WIND,19,721.0
SOLAR,19,6.0073260087912095
OCGT,20,18.265624900000034
CCGT,20,374.734375
WIND,20,721.0
SOLAR,20,-0.0
OCGT,21,13.63281260000008
CCGT,21,374.734375
WIND,21,726.6328124999999
SOLAR,21,-0.0
OCGT,22,0.0
CCGT,22,374.734375
WIND,22,732.265625
SOLAR,22,-0.0
OCGT,23,0.0
CCGT,23,309.4687500000001
WIND,23,743.5312499999999
SOLAR,23,-0.0
OCGT,24,0.0
CCGT,24,290.0
WIND,24,745.0
SOLAR,24,-0.0
